Frecuencia,0,10,20,30,40,50,60,70,80,90,-90,-80,-70,-60,-50,-40,-30,-20,-10
130.187,0,-0.775959,-0.758411,-0.900688,-1.228382,-1.005192,-1.715176,-1.578655,-1.957653,-2.376099,-2.376099,-1.957653,-1.578655,-1.715176,-1.005192,-1.228382,-0.900688,-0.758411,-0.775959
131.807,0,-0.791462,-0.73967,-0.926685,-1.227558,-1.098873,-1.764793,-1.766109,-2.177937,-2.587318,-2.587318,-2.177937,-1.766109,-1.764793,-1.098873,-1.227558,-0.926685,-0.73967,-0.791462
133.448,0,-0.771015,-0.689735,-0.912082,-1.1814,-1.131752,-1.724384,-1.847561,-2.26403,-2.651356,-2.651356,-2.26403,-1.847561,-1.724384,-1.131752,-1.1814,-0.912082,-0.689735,-0.771015
135.109,0,-0.744678,-0.637764,-0.880317,-1.114563,-1.115409,-1.628715,-1.838466,-2.229168,-2.601089,-2.601089,-2.229168,-1.838466,-1.628715,-1.115409,-1.114563,-0.880317,-0.637764,-0.744678
136.791,0,-0.722275,-0.592861,-0.841046,-1.040562,-1.06509,-1.503735,-1.770184,-2.107647,-2.472546,-2.472546,-2.107647,-1.770184,-1.503735,-1.06509,-1.040562,-0.841046,-0.592861,-0.722275
138.494,0,-0.724919,-0.5705,-0.819626,-0.990631,-1.027767,-1.402741,-1.710942,-2.001755,-2.344601,-2.344601,-2.001755,-1.710942,-1.402741,-1.027767,-0.990631,-0.819626,-0.5705,-0.724919
140.218,0,-0.761883,-0.579976,-0.83009,-0.97807,-1.025265,-1.346066,-1.681881,-1.935597,-2.247353,-2.247353,-1.935597,-1.681881,-1.346066,-1.025265,-0.97807,-0.83009,-0.579976,-0.761883
141.964,0,-0.77031,-0.593994,-0.833367,-0.966072,-1.01817,-1.311928,-1.652352,-1.887703,-2.17265,-2.17265,-1.887703,-1.652352,-1.311928,-1.01817,-0.966072,-0.833367,-0.593994,-0.77031
143.731,0,-0.776863,-0.61156,-0.841655,-0.973674,-1.029224,-1.306476,-1.64796,-1.87807,-2.128677,-2.128677,-1.87807,-1.64796,-1.306476,-1.029224,-0.973674,-0.841655,-0.61156,-0.776863
145.52,0,-0.778122,-0.623856,-0.848809,-0.989102,-1.052475,-1.317349,-1.6591,-1.893978,-2.103909,-2.103909,-1.893978,-1.6591,-1.317349,-1.052475,-0.989102,-0.848809,-0.623856,-0.778122
147.332,0,-0.748921,-0.621453,-0.826576,-0.975868,-1.0159,-1.290444,-1.639614,-1.898194,-2.05328,-2.05328,-1.898194,-1.639614,-1.290444,-1.0159,-0.975868,-0.826576,-0.621453,-0.748921
149.166,0,-0.699974,-0.607376,-0.786377,-0.943428,-0.964164,-1.239364,-1.589508,-1.858757,-1.964737,-1.964737,-1.858757,-1.589508,-1.239364,-0.964164,-0.943428,-0.786377,-0.607376,-0.699974
151.023,0,-0.645161,-0.594643,-0.757142,-0.9124,-0.914059,-1.187706,-1.528607,-1.782303,-1.856175,-1.856175,-1.782303,-1.528607,-1.187706,-0.914059,-0.9124,-0.757142,-0.594643,-0.645161
